message_content,prelabel,label
"Christa, finish your account sign-up and you could make Ksh 287 hourly in Nairobi. * t.uber.com/lJ8929 Reply STOP 2 to +1 415-237-0403 to unsubscribe",2: High-risk scam,scam
"CONGRATULATION!\nYOUR ACCOUNT 254757547986 HAS BEEN CREDITED WITH KES 62,950\n\nNew BONUS  Balance: KES 62,950 \n\nLOGIN>wekelea.com\n \n DEPOSIT&PLAY",2: High-risk scam,scam
🙏🙏 I can do all this through him who gives me strength. Phil 4;13 Reply with 20 To stop this message reply with STOP,0: Legit (Low-risk),legit
"Hi, I'm Alice, a recruiter at VG Investments. We are looking for a responsible part-time partner to join VG Investment Group. Join us and use your mobile phone for 30-60 minutes a day, with daily salary ranging from 3000-8000 KES! 👇👇👇 (must be 23 years old or above)\nContact us via WhatsApp:+12694406502",2: High-risk scam,scam
"TAL6FH2DN CONFIRMED, YOU HAVE RECEIVED KES. 70,350\n\nUSIPITWE NA HII CHEPKORIR INGIA> pepea.ke\n\nSHARE YAKO INAKUNGOJA LEO\n\nDEPOSIT 99/-PLAY&WIN",2: High-risk scam,scam
"Have you received your New Year prize from Facebook totaling 318,190.00 USD for a confirmed Facebook user?\n\n We apologize if you did not receive your prize of 318,190.00 baht, we promise you will receive yours today\n  %\n\n Send me your mobile number so you can get your payment details",2: High-risk scam,scam
"This too Shall Pass🙏🙏 God will see us through the difficult time and our land will be plenty again👐👊🙏🙌""  Reply with 30 for your call receivers. To stop receiving these messages reply Stop.""",0: Legit (Low-risk),legit
"Dear tenant, rent payment is now via MPESA till4975868(SECURE)due to problems with our regular rent account. PAY ON TIME. No other payment accepted. Management",2: High-risk scam,scam
"NOTICE!  Dear tenant. Effective from today, all rent should be paid to our new bank account  Pay bill:542542 Account number:05405568866150  Kindly comply.  REGARDS, MANAGEMENT.",2: High-risk scam,scam
"Congratulations, You have received KES200,000 MPESA ref: CRASH\n\nSignup hapa na ucheze, upate message kama hii!\n\nhttps://juubet.com STOP *456*9*5#",2: High-risk scam,scam
"CHEZA LOTTO INATAJIRISHA!!\n\nRAHISI KUCHEZA, RAHISI KUSHINDA!\n\nCHEZA USHINDE MAMILLIONI SAA HII\n\nTO PLAY DIAL *501#\n\nTUNATOA WASHINDI KILA DAKIKA!\n\nSTOP*456*9*5#",0: Legit (Low-risk),legit
"Your job posting has gone through, now click on the link to get to work. 200-1000KSh per hour, settlement income per hour!touch:http://wa.me/85268426479",2: High-risk scam,scam
I pray God visits your home this month with Miracles,0: Legit (Low-risk),legit
"Hi mum,the anniversary is over,its now 2yrs since I lost her,I believe God will give me another caring&loving one,hope my son and daughter are doing well\n",0: Legit (Low-risk),legit
"Guard your heart above all else, for it determines the course of your life🙏Reply with 66 to inspire your callers. To stop reply stop",0: Legit (Low-risk),legit
"Mungu mpendwa, naomba ulinde watoto wangu. Waongoze kwenye njia iliyo sawa na walinde kutokana na hatari. Wajaze hekima na ujasiri. Familia yetu iwe kimbilio la upendo na amani. Amina. Jibu na 2 ili kueneza ujumbe huu kwa wengine. Bonyeza*875*353# kupata niponye Mungu kama skiza. Ili usipokee tena jumbe hizi, jibu STOP.",0: Legit (Low-risk),legit
