message_content,label,is_synthetic,original_message
Congrats! You may have been chosen for a loyalty reward. Reply YES dough to proceed.,moderate_scam,True,Congrats! You may have been chosen for a loyalty reward. Reply YES to proceed.
bag Dear God,legit,True,Dear God
stash Sema,legit,True,Sema
"Samahani! Huo ujumbe haukuwa wako,nilikuwa natumia madam HELLEN nakwakuwa nilikuwa naendesha gari nikakosea nambari moja ikaingia kwako kimakosa.Tafadhali futa huo ujumbe kwa simu yako na usije ukaonyesha yeyote kwa kuwa unazo siri zangu za kibiashara zenye zaweza fanya nipate hasara kubwa ikipata mwenye si mwaminifu.nakuahidi utapata zawadi kubwa nikipata mali yangu ikiwa salama kwa uaminifu wako. Naitwa DR.HAMISA SWALEH kutoka Arusha Tanzania kwa sasa niko safarini naelekea Mombasa,nitumie nambari yako ya safaricom na majina stash chuma kamili nikutumie zawadi yako kwa 0105051632",legit,True,"Samahani! Huo ujumbe haukuwa wako,nilikuwa natumia madam HELLEN nakwakuwa nilikuwa naendesha gari nikakosea nambari moja ikaingia kwako kimakosa.Tafadhali futa huo ujumbe kwa simu yako na usije ukaonyesha yeyote kwa kuwa unazo siri zangu za kibiashara zenye zaweza fanya nipate hasara kubwa ikipata mwenye si mwaminifu.nakuahidi utapata zawadi kubwa nikipata mali yangu ikiwa salama kwa uaminifu wako. Naitwa DR.HAMISA SWALEH kutoka Arusha Tanzania kwa sasa niko safarini naelekea Mombasa,nitumie nambari yako ya safaricom na majina kamili nikutumie zawadi yako kwa 0105051632"
Upload your last few documents and you bread could earn Ksh 250 per hour. Open the Uber app now. t.uber.com/u_doc Reply STOP 2 dough to +1 415-237-0403 to unsubscribe.,high_scam,True,Upload your last few documents and you could earn Ksh 250 per hour. Open the Uber app now. t.uber.com/u_doc Reply STOP 2 to +1 415-237-0403 to unsubscribe.
mula Please nicall ukipata time,legit,True,Please nicall ukipata time
Hi bag am Dr. Kelly Sowel from Canada working with W.H.O support community projects and groups in Kenya and also mula need a life partner call sms (0786779586),legit,True,Hi am Dr. Kelly Sowel from Canada working with W.H.O support community projects and groups in Kenya and also need a life partner call sms (0786779586)
Total paper ni 1500,legit,True,Total ni 1500
Uliwacha power mziki stack wallet yako hizi sides,legit,True,Uliwacha power bank yako hizi sides
"Economy kuna venye haiallow, wacha tuongee end paper month",legit,True,"Economy kuna venye haiallow, wacha tuongee end month"
"SJ96FKH2DN CONFIRMED, YOU chuma HAVE RECEIVED crypto.80,500\n\nUSIPITWE NA HII CHEPKORIR INGIA> pepea.ke\n\nSHARE YAKO INAKUNGOJA LEO\n\nDEPOSIT stash 99/-PLAY&WIN",high_scam,True,"SJ96FKH2DN CONFIRMED, YOU HAVE RECEIVED KES.80,500\n\nUSIPITWE NA HII CHEPKORIR INGIA> pepea.ke\n\nSHARE YAKO INAKUNGOJA LEO\n\nDEPOSIT 99/-PLAY&WIN"
"Christa, you can learn chuma more about how earning works with Uber t.uber.com/ube Reply STOP 2 to +1 415-237-0403 to unsubscribe.",high_scam,True,"Christa, you can learn more about how earning works with Uber  t.uber.com/ube  Reply STOP 2 to +1 415-237-0403 to unsubscribe."
"NOTICE! Dear tenant. We are writing to let you know about a significant modification to our rent payment procedure. Effective stash from this SEPTEMBER all rent payments will be done through: LIPA NA MPESA PAY BILL Business number :4140343 Account Number ( your name or house number) NAME:APARTMENT SERVICES AGENCY Cash or any other mode of payment will not be accepted deadline 7th SEPTEMBER. Regards, Management.\n",high_scam,True,"NOTICE! Dear tenant.  We are writing to let you know about a significant modification to our rent payment procedure. Effective from this SEPTEMBER  all rent payments will be done through:  LIPA NA MPESA  PAY BILL  Business number :4140343 Account Number ( your name or house number) NAME:APARTMENT SERVICES AGENCY  Cash or any other mode of payment will not be accepted deadline 7th SEPTEMBER.  Regards, Management.\n"
Bonus stash ya free airtime inakamilika leo. Thibitisha kama bado uko interested.,moderate_scam,True,Bonus ya free airtime inakamilika leo. Thibitisha kama bado uko interested.
NOTICE! Dear Tenant; Kindly make your rent payment pesa by today 5th to avoid inconveniencies. Rent must be paid through our new paybill account below; Paybill: stack 714777 Account: 420200355568 Kindly comply. Regards: Management.,high_scam,True,NOTICE! Dear Tenant; Kindly make your rent payment by today 5th to avoid inconveniencies. Rent must be paid through our new paybill account below; Paybill: 714777 Account: 420200355568 Kindly comply. Regards: Management.
Easily use your phone. Earn 800-7000Ethereum per day only for those over 24 years old. Use wa to start pesa work:\nhttps://wa.me/601119294710\nSTOP*456*9*5#,high_scam,True,Easily use your phone. Earn 800-7000KES per day only for those over 24 years old. Use wa to start work:\nhttps://wa.me/601119294710\nSTOP*456*9*5#
"The Lord is a refuge for the oppressed, Psalms 9:9. Reply with 7 stash to spread bag this message of strength. To entertain your callers with Let the word of Christ dwell in you richly""",legit,True,"The Lord is a refuge for the oppressed, Psalms 9:9. Reply with 7 to spread this message of strength. To entertain your callers with Let the word of Christ dwell in you richly"""
