message,msg_length,num_numbers,contains_greeting,contains_scam_keyword,num_exclamations,num_uppercase_words,code_switching
account sign ksh hourly nairobi reply stop unsubscribe,54,0,False,False,0,0,True
congratulation account credit kes new bonus balance kes login deposit play,74,0,False,False,0,0,False
give strength phil reply stop message reply stop,48,0,True,False,0,0,False
alice recruiter investment look responsible time partner join investment group join use mobile phone minute day daily salary range ke year old contact whatsapp,159,0,False,False,0,0,False
confirm receive kes usipitwe hii chepkorir ingia yako inakungoja leo deposit play win,85,0,True,False,0,0,False
receive new year prize facebook total usd confirm facebook user apologize receive prize baht promise receive today send mobile number payment detail,148,0,False,True,0,0,False
shall pass god difficult time land plenty reply receiver stop receive message reply stop,88,0,False,False,0,0,False
dear tenant rent payment mpesa secure problem regular rent account pay time payment accept management,101,0,True,True,0,0,True
notice dear tenant effective today rent pay new bank account pay bill account number kindly comply regard management,116,0,True,False,0,0,False
congratulation receive mpesa ref crash signup hapa ucheze upate message kama hii stop,85,0,True,True,0,0,True
cheza lotto inatajirisha rahisi kucheza cheza ushinde hii play dial,67,0,True,False,0,0,False
job posting go click link work hour settlement income hour touch,64,0,False,False,0,0,False
pray god visit home month miracle,33,0,False,False,0,0,False
mum anniversary lose believe caring love hope son daughter,58,0,False,False,0,0,False
guard heart determine course life reply inspire caller stop reply stop,70,0,False,False,0,0,False
ulinde watoto wangu waongoze iliyo sawa walinde kutokana hatari wajaze hekima ujasiri familia yetu iwe kimbilio upendo ili kueneza ujumbe huu kwa wengine bonyeza kupata niponye mungu kama,187,0,False,False,0,0,False
dear customer tala softloan available pesa user interest sms tala,65,0,True,False,0,0,False
account credit kes new balance ke ref play upate hii pesa,57,0,True,False,0,0,False
chronicle look lord strength seek face reply set signature reply stop stop receivng message,91,0,False,False,0,0,False
kes wait register place bet bonus register,42,0,False,False,0,0,False
receive kes chezabet use promo code code activate new balance kes apply click stop,82,0,False,True,0,0,False
confirm receive qbet balance use promo code qbet redeem stop,60,0,False,True,0,0,False
mario payment breeze weekend buy good feature branch quick safe easy,68,0,False,False,0,0,False
year end remember ending new beginning cheer bright day ahead reply end year style stop receive message reply stop,114,0,False,False,0,0,False
dear customer reply set saeed islamic nasheed tune reply set nyanya rukia mtech wacky tune tune relive historic moment dial set today history tune,146,0,True,False,0,0,False
reservation confirm wednesday july venue biashara plaza floor operative bank building host presbyterian university baazar moi avenue street time carry national text arrival regard miss faith,190,0,False,False,0,0,False
shall love neighbor mark reply spread message encouragement entertain caller strong lord mighty power dial,106,0,False,False,0,0,False
pesa loan available pesa user interest apply send,49,0,False,True,0,0,False
congratulation receive mpesa ref crash signup hapa ucheze upate message kama hii stop,85,0,True,True,0,0,True
congratulation safaricom lipa pesa promotion win claim prize kindly office payment,82,0,False,True,0,0,False
worrying total waste time doesn change mess mind steal happinessreply subscribe dial asante mungu stop receive message reply stop,129,0,False,False,0,0,False
notice dear tenant clear rent balance sept rent payment pay dtb bank account paybill account number cash mode payment accept kindly comply pay time regard management,165,0,True,False,0,0,False
god good new day new year know need time start uplift caller message reply stop receive message reply stop,106,0,False,False,0,0,False
